YORF	NAME	GWEIGHT	Cell-cycle Alpha-Factor 1	Cell-cycle Alpha-Factor 2	Cell-cycle Alpha-Factor 3	Cell-cycle Alpha-Factor 4	Cell-cycle Alpha-Factor 5	Cell-cycle Alpha-Factor 6	Cell-cycle Alpha-Factor 7	Cell-cycle Alpha-Factor 8	Cell-cycle Alpha-Factor 9	Cell-cycle Alpha-Factor 10	Cell-cycle Alpha-Factor 11	Cell-cycle Alpha-Factor 12	Cell-cycle Alpha-Factor 13	Cell-cycle Alpha-Factor 14	Cell-cycle Alpha-Factor 15	Cell-cycle Alpha-Factor 16	Cell-cycle Alpha-Factor 17	Cell-cycle Alpha-Factor 18	Cell-cycle cdc15 10m	Cell-cycle cdc15 30m	Cell-cycle cdc15 50m	Cell-cycle cdc15 70m	Cell-cycle cdc15 80m	Cell-cycle cdc15 90m	Cell-cycle cdc15 100m	Cell-cycle cdc15 110m	Cell-cycle cdc15 120m	Cell-cycle cdc15 120m	Cell-cycle cdc15 130m	Cell-cycle cdc15 140m	Cell-cycle cdc15 150m	Cell-cycle cdc15 160m	Cell-cycle cdc15 160m	Cell-cycle cdc15 170m	Cell-cycle cdc15 180m	Cell-cycle cdc15 190m	Cell-cycle cdc15 200m	Cell-cycle cdc15 210m	Cell-cycle cdc15 220m	Cell-cycle cdc15 240m	Cell-cycle cdc15 250m	Cell-cycle cdc15 270m	Cell-cycle cdc15 290m	Cell-cycle Elutriation 0.0hrs	Cell-cycle Elutriation 0.5hrs	Cell-cycle Elutriation 1.0hrs	Cell-cycle Elutriation 1.5hrs	Cell-cycle Elutriation 2.0hrs	Cell-cycle Elutriation 2.5hrs	Cell-cycle Elutriation 3.0hrs	Cell-cycle Elutriation 3.5hrs	Cell-cycle Elutriation 4.0hrs	Cell-cycle Elutriation 4.5hrs	Cell-cycle Elutriation 5.0hrs	Cell-cycle Elutriation 5.5hrs	Cell-cycle Elutriation 6.0hrs	Cell-cycle Elutriation 6.5hrs	Cell-cycle CLN3 induction 30m	Cell-cycle CLN3 induction 40m	Cell-cycle CLB5 induction 40m	Sporulation 0	Sporulation 30m	Sporulation 2h	Sporulation 5h	Sporulation 7h	Sporulation 9h	Sporulation 11h	Sporulation 2h (v. 5h)	Sporulation 7h (v. 5h)	Sporulation 11h (v. 5h)	Sporulation ndt80- Early	Sporulation ndt80- Middle	Sporulation ndt80over	Diauxic Shift 19.0g/L	Diauxic Shift 18.7g/L	Diauxic Shift 17.6g/L	Diauxic Shift 14.0g/L	Diauxic Shift 7.5g/L	Diauxic Shift 0.2g/L	Diauxic Shift 0g/L
EWEIGHT			1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
YHR051W	YHR051W   COX6      oxidative phosphorylation     cytochrome-c oxidase subunit VI              S0001093	1	 0.03	 0.30	 0.37	 0.38	-0.14	-0.12	-0.40	 0.10	-0.12	-0.30	 0.08	-0.15	 0.03	-0.20	 0.00	-0.07	-0.23	 0.00	-1.12	-1.18	-0.56	 0.33	 0.56	 0.63	 0.65	 0.83	 0.86	 0.48	 0.60	 0.38	 0.42	 0.42	 0.45	 0.65	 0.12	 0.37	 0.20	 0.79	 0.50	-0.30	 0.65	 0.54	 0.75	 0.68	-0.15	 0.58	 0.51	 0.11	 0.31	 0.18	 0.12	 0.14	 0.10	 0.23	 0.21	-0.18	-0.06	-1.32	-0.71	 0.29	-0.03	-0.38	 0.45	 0.26	 0.03	-0.56	-0.64	 0.46	-0.36	-1.40	-0.71	-0.71	-0.69	 0.20	 0.04	 0.19	 0.41	 0.76	 2.18	 2.50
YKL181W	YKL181W   PRS1      purine, pyrimidine, tryptophanphosphoribosylpyrophosphate synthetase       S0001664	1	 0.33	-0.20	-0.12	-0.01	 0.07	-0.07	 0.18	 0.08	 0.54	 0.12	 0.69	-0.04	 0.14	 0.03	 0.41	 0.38	-0.04	-0.17	 0.24	 0.30	 0.31	 0.39	 0.18	 0.33	-0.22	 0.25	 0.07	-0.43	-0.07	-0.36	-0.07	-0.34	 0.10	-0.20	-0.79	-0.15	-0.25	-0.15	-0.03	-0.07	-0.51	-0.81	-0.64	-0.81	-0.62	-0.09	 0.87	 0.43	 0.29	 0.21	 0.04	-0.17	-0.22	-0.30	-0.34	-0.60	-0.17	-0.51		-0.49	-0.20	-0.64	-0.79	-0.69	-1.25	-1.00	-0.86	-0.23	-0.56	-0.22	-1.43	-1.79	-0.64	 0.16	 0.00	-0.06	-0.62	-0.86	-1.89	-1.94
YHR124W	YHR124W   NDT80     meiosis                       transcription factor                         S0001166	1	 0.36	 0.08	 0.06	-0.30	 0.00	-0.23	-0.06	-0.10	 0.12	-0.36	-0.07	-0.34	-0.06	-0.29	-0.18	 0.07	-0.30	-0.20	-0.56	-0.15	-0.86	-0.67	 0.33	-0.92	-0.62	-0.51	 0.28	 0.08	-0.03		 0.46	 0.40	-0.12	-0.12	 0.74	-0.51	 0.48	-0.25	 0.98		-0.84	-0.40	-0.89	-0.42	-0.60	-0.38	-0.04	 0.10	-0.10	-0.14	-0.43	-0.45	-0.43	-0.60	-0.84	-0.47	-0.27	 0.07	 2.14	-1.74	-0.17	-0.47	-0.79	 3.19	 4.48	 4.06	 4.57	-4.64	 1.64	 1.44	-0.27	-0.34	 5.63	-0.07	-0.03	 0.66	-0.06	-0.22	 0.52	 0.91
YHL020C	YHL020C   OPI1      phospholipid metabolism       negative regulator of phospholipid biosynthesS0001012	1	-0.01	-0.03	 0.21	-0.10	 0.06	 0.25	 0.28	 0.21	 0.11	 0.11	-0.03	-0.09	-0.17	 0.18	-0.07	 0.07		-0.04	 0.19	 0.26	 0.23	 0.00	-0.18	 0.00	-0.45	 0.16	-0.64	-0.27	 0.10	-0.79	-0.10	-0.36	-0.74	-0.03	-0.34	-0.79	-0.54	-0.27	-0.18	-0.20	-0.17	-0.10	-0.04	 0.33	 0.39	 0.01	 0.24	 0.55	 0.32	 0.45	 0.20	 0.12	-0.17	 0.21	-0.15	-0.25	-0.14	-0.07	 0.49	 0.14	-0.10	-0.10	-0.60	-0.79	-1.06	-0.81	-0.51	-0.27	-0.20	-0.25	-0.67	-1.40	-1.03	-0.25	 0.01	 0.28	-0.06	-0.27	 0.65	 0.50
YGR072W	YGR072W   UPF3      mRNA decay, nonsense-mediated unknown                                      S0003304	1	 0.20	-0.43	-0.22	-0.36	-0.15	-0.42	 0.15	-0.04	 0.06	-0.27	-0.43	-0.42	-0.18	-0.38	-0.36	-0.25	 0.04	-0.29	 0.15	 0.06	 0.01	-0.58	-0.62	-0.51	-0.27	 0.00	-0.64	 0.50	-0.12	-0.69	-0.07	-0.86	-0.92	-0.06	-0.23	-0.32	 0.18	-0.32	-0.12	 0.25	-0.10	-0.47	-0.34	 0.14	-0.51	-0.23	-0.27	-0.18	-0.38	-0.42	-0.49	-0.40	-0.49	-0.18	-0.51	-0.42	-0.76	 0.41	 0.46	-0.38	-0.22	-1.43	-0.92	 0.10	 0.72	 0.66	 0.51	-1.25	 0.37	 0.46	-0.81	 0.19	 0.23	-0.10	-0.14	 0.14	-0.49	-0.18	 0.08	-0.18
YGR145W	YGR145W             unknown                       unknown; similar to MESA gene of Plasmodium fS0003377	1	 0.11	-1.15	-1.03	-0.76	 0.03	-0.30	 0.20	-0.10	 0.23	-0.06	-0.07	-0.09	 0.00	 0.00	-0.18	-0.10	 0.01	 0.10	 1.27	 1.01	 0.55	 0.14	-1.32	 0.18	-0.54	-0.04	-1.69	-0.38	-0.01	-1.03	-0.51	-0.74	-0.97	-0.34	-0.74	 0.37	-0.54	-0.07	-0.92	-1.06	-0.18	-0.58	-0.60	-0.62	-0.54	-0.60	 0.03	 0.46	 0.21	-0.23	-0.32	-0.30	 0.11	-0.20	-0.64	-0.56	-0.22	-0.76	 0.28	-0.22	-0.38	-3.47	-1.40	-0.09	-0.89	-1.03	-0.54	-1.43	-1.12	-0.79	-1.94	-0.92	-0.97	 0.00	-0.23	 0.25	-0.89	-1.09	-1.69	-2.18
YGR218W	YGR218W   CRM1      nuclear protein targeting     nuclear export factor                        S0003450	1	 0.24	-0.23	 0.12	 0.04	 0.26	-0.18	 0.15	 0.00	 0.10	 0.21	 0.24	 0.21	 0.24	-0.07	 0.28		-0.04	 0.10	 0.10	 0.01	 0.06	-0.06	 0.12	-0.09	-0.10	-0.18	 0.12	 0.19	-0.04	-0.07	-0.14	-0.10	-0.74	-0.43	-0.54	-0.23	 1.41	-0.22	 0.11	-0.25	-0.30	-0.06	-0.38	-0.10	-0.22	-0.30	-0.03	-0.47	-0.51	-0.25	-0.15	 0.08	-0.15	-0.29	-0.58	-0.23	-0.97	 0.39	 0.55	 0.32	-0.38	-0.15	 0.06	-0.04	-0.30	-0.60	-0.29	-0.12	-0.51	-0.56	 0.11	 0.31	-0.22	 0.24	 0.50	-0.04	-0.58	-0.43	-0.67	-0.27
YGL041C	YGL041C             unknown                       unknown                                      S0003009	1	 0.06	 0.23	 0.20	-0.01	-0.01	 0.19	-0.15	 0.19	 0.26	-0.22	 0.32	 0.06	-0.09	-0.06	 0.00	 0.24	-0.30	-0.14	-0.17	-0.20	-0.09	-0.76	 0.73	-0.92	 0.91	-0.47	 0.07	 0.03	-0.84	 0.44	-0.97	 0.18	-0.60	-0.56	 0.41	-0.74	 0.69	-0.42	 0.70		-0.27	-0.38	 0.11	 0.52	-0.40	 0.19	-0.09	 0.08	-0.20	-0.09	-0.04	-0.20	-0.23	 0.06	-0.25	-0.22	-0.17	 0.19	 1.23	 0.54	-0.03	-0.60	-0.15	-0.15	-0.03	-0.17	-0.34	-0.14	 0.23	-0.34	-0.49	-0.01	-0.06	 0.15	 0.08	 0.40	-0.09	-0.40	 0.03	-0.30
YOR202W	YOR202W   HIS3      histidine biosynthesis        imidazoleglycerol-phosphate dehydratase      S0005728	1	 0.10	 0.48	 0.86	 0.25	 0.14	-0.25	 0.18	-0.09	-0.06	-0.06	-0.18	-0.64	-0.10	-0.45	-0.04	-0.30	-0.01	 0.14	-0.40	-0.49	-0.14	-0.27	-0.84	-0.25	-0.29	-0.42	-0.71	-0.86	-0.36	-0.56	-0.79	-0.86	-0.69	-0.89	-0.18	-0.17	-0.04	-0.81	-0.54	-0.23	-0.15	-0.15	 0.06	-0.74	-0.43	-0.42	-0.54	 0.07	 0.28	-0.10	 0.10	 0.25	 0.16	 0.15	 0.03	 0.20	 0.01	 0.08	-0.18	-1.06	-0.47	 0.97	 0.70	 0.31	 0.55	 0.42	 0.39	 0.16	 0.32	-0.06	-0.64	-0.56	-1.32	-0.25	-0.07	 0.25	-0.23	 0.20	-0.51	-0.76
