,region,area,palmitic,palmitoleic,stearic,oleic,linoleic,linolenic,arachidic,eicosenoic
1.North-Apulia,1,1,1075,75,226,7823,672,36,60,29
2.North-Apulia,1,1,1088,73,224,7709,781,31,61,29
3.North-Apulia,1,1,911,54,246,8113,549,31,63,29
4.North-Apulia,1,1,966,57,240,7952,619,50,78,35
5.North-Apulia,1,1,1051,67,259,7771,672,50,80,46
6.North-Apulia,1,1,911,49,268,7924,678,51,70,44
7.North-Apulia,1,1,922,66,264,7990,618,49,56,29
8.North-Apulia,1,1,1100,61,235,7728,734,39,64,35
9.North-Apulia,1,1,1082,60,239,7745,709,46,83,33
10.North-Apulia,1,1,1037,55,213,7944,633,26,52,30
11.North-Apulia,1,1,1051,35,219,7978,605,21,65,24
12.North-Apulia,1,1,1036,59,235,7868,661,30,62,44
13.North-Apulia,1,1,1074,70,214,7728,747,50,79,33
14.North-Apulia,1,1,875,52,243,8018,655,41,79,32
15.North-Apulia,1,1,952,49,254,7795,780,50,75,41
16.North-Apulia,1,1,1155,98,201,7606,816,32,60,29
17.North-Apulia,1,1,943,94,183,7840,788,42,75,31
18.North-Apulia,1,1,1278,69,205,7344,957,45,70,28
19.North-Apulia,1,1,961,70,195,7958,742,46,75,30
20.North-Apulia,1,1,952,77,258,7820,736,43,78,33
21.North-Apulia,1,1,1074,67,236,7692,716,56,83,45
22.North-Apulia,1,1,995,46,288,7806,679,56,86,40
23.North-Apulia,1,1,1056,53,247,7703,700,54,89,51
24.North-Apulia,1,1,1065,39,234,7876,703,42,74,26
25.North-Apulia,1,1,1065,45,245,7779,696,47,82,38
26.Calabria,1,2,1315,139,230,7299,832,42,60,32
27.Calabria,1,2,1321,136,217,7174,950,43,63,30
28.Calabria,1,2,1359,115,246,7234,874,45,63,18
29.Calabria,1,2,1378,111,272,7127,940,46,64,23
30.Calabria,1,2,1295,109,245,7253,903,43,62,38
31.Calabria,1,2,1275,121,215,7285,892,40,68,41
32.Calabria,1,2,1336,120,318,7083,915,50,70,38
33.Calabria,1,2,1309,122,241,7257,870,46,72,35
34.Calabria,1,2,1340,114,189,7337,820,48,72,21
35.Calabria,1,2,1299,116,253,7309,823,40,69,27
36.Calabria,1,2,1221,107,221,7441,798,54,70,28
37.Calabria,1,2,1245,72,283,7395,829,44,67,28
38.Calabria,1,2,1285,129,244,7323,819,57,65,36
39.Calabria,1,2,1248,107,313,7299,840,46,66,33
40.Calabria,1,2,1356,106,236,7209,866,48,75,36
41.Calabria,1,2,1260,102,228,7354,870,49,64,28
42.Calabria,1,2,1261,121,312,7238,877,47,65,25
43.Calabria,1,2,1304,124,279,7160,928,48,61,37
44.Calabria,1,2,1344,117,287,7129,897,51,65,41
45.Calabria,1,2,1323,96,300,7351,757,47,54,26
46.Calabria,1,2,1292,117,215,7351,839,48,61,32
47.Calabria,1,2,1254,118,244,7394,786,46,71,24
48.Calabria,1,2,1312,131,259,7167,939,41,69,20
49.Calabria,1,2,1213,109,301,7261,925,47,65,31
50.Calabria,1,2,1359,98,351,7262,780,41,56,16
51.Calabria,1,2,1266,97,263,7435,743,45,69,29
52.Calabria,1,2,1298,99,311,7311,787,45,67,23
53.Calabria,1,2,1272,116,279,7258,872,43,72,27
54.Calabria,1,2,1278,87,332,7379,771,44,53,24
55.Calabria,1,2,1184,112,311,7391,819,48,57,28
56.Calabria,1,2,1382,110,268,7241,828,39,60,30
57.Calabria,1,2,1183,146,292,7580,618,38,51,23
58.Calabria,1,2,1261,153,219,7355,818,52,70,26
59.Calabria,1,2,1198,136,239,7639,633,27,55,19
60.Calabria,1,2,1225,134,232,7658,616,36,49,26
61.Calabria,1,2,1339,166,208,7190,923,40,69,25
62.Calabria,1,2,1132,157,240,7641,638,45,60,31
63.Calabria,1,2,1381,183,245,7385,609,47,70,25
64.Calabria,1,2,1409,128,257,7257,759,43,57,16
65.Calabria,1,2,1306,127,250,7254,869,47,68,24
66.Calabria,1,2,1372,120,250,7355,702,44,68,28
67.Calabria,1,2,1336,113,242,7293,855,38,60,18
68.Calabria,1,2,1401,151,238,7164,857,45,72,36
69.Calabria,1,2,1390,119,234,7236,823,40,62,41
70.Calabria,1,2,1432,152,281,7029,949,39,55,25
71.Calabria,1,2,1412,124,298,7182,790,45,68,28
72.Calabria,1,2,1366,147,291,7197,783,51,70,34
73.Calabria,1,2,1383,118,273,7282,738,45,68,29
74.Calabria,1,2,1283,102,263,7400,763,54,65,28
75.Calabria,1,2,1296,136,260,7380,780,48,51,18
76.Calabria,1,2,1287,108,287,7343,826,44,44,23
77.Calabria,1,2,1351,159,296,7229,810,36,60,22
78.Calabria,1,2,1241,97,268,7499,709,52,69,36
79.Calabria,1,2,1267,101,300,7230,898,74,65,34
80.Calabria,1,2,1235,138,252,7322,861,54,66,36
81.Calabria,1,2,1255,103,223,7395,848,47,56,30
82.South-Apulia,1,3,1454,183,196,7057,1014,27,46,19
83.South-Apulia,1,3,1347,194,197,7277,895,25,46,15
84.South-Apulia,1,3,1364,204,225,6929,1084,21,50,14
85.South-Apulia,1,3,1410,199,216,7130,955,21,48,19
86.South-Apulia,1,3,1384,178,208,7105,999,29,67,26
87.South-Apulia,1,3,1412,185,217,6842,1203,34,72,32
88.South-Apulia,1,3,1410,232,280,6715,1233,32,60,24
89.South-Apulia,1,3,1509,209,257,6647,1240,42,62,30
90.South-Apulia,1,3,1317,197,256,7036,1067,40,60,22
91.South-Apulia,1,3,1286,192,203,7132,1053,38,65,28
92.South-Apulia,1,3,1273,191,202,6862,1303,43,70,28
93.South-Apulia,1,3,1463,183,183,6747,1307,36,60,24
94.South-Apulia,1,3,1399,187,191,6861,1233,38,60,17
95.South-Apulia,1,3,1413,193,208,6875,1202,30,60,18
96.South-Apulia,1,3,1369,206,203,6953,1168,35,50,16
97.South-Apulia,1,3,1488,172,170,6920,1144,37,54,14
98.South-Apulia,1,3,1323,160,205,6911,1298,24,50,17
99.South-Apulia,1,3,1311,166,170,6902,1312,41,69,28
100.South-Apulia,1,3,1286,163,183,7040,1230,29,57,12
101.South-Apulia,1,3,1380,173,188,7038,1139,31,44,14
102.South-Apulia,1,3,1394,164,223,7086,1042,24,43,23
103.South-Apulia,1,3,1324,174,198,6863,1289,36,70,21
104.South-Apulia,1,3,1290,157,192,7000,1263,26,51,19
105.South-Apulia,1,3,1361,163,196,6888,1273,37,58,24
106.South-Apulia,1,3,1387,182,242,6913,1101,44,68,30
107.South-Apulia,1,3,1369,180,181,7000,1130,39,45,24
108.South-Apulia,1,3,1303,165,175,7025,1243,31,41,16
109.South-Apulia,1,3,1346,160,169,7072,1151,39,48,15
110.South-Apulia,1,3,1369,171,184,6937,1246,30,48,15
111.South-Apulia,1,3,1305,172,169,7004,1260,28,50,11
112.South-Apulia,1,3,1351,179,186,6935,1243,36,50,19
113.South-Apulia,1,3,1283,151,182,7000,1271,40,52,21
114.South-Apulia,1,3,1449,175,198,6883,1162,40,70,22
115.South-Apulia,1,3,1310,180,183,7054,1202,26,32,12
116.South-Apulia,1,3,1360,163,176,6901,1280,28,65,27
117.South-Apulia,1,3,1300,187,196,6920,1253,41,76,25
118.South-Apulia,1,3,1368,171,218,7010,1057,41,54,26
119.South-Apulia,1,3,1207,151,156,7159,1234,27,51,14
120.South-Apulia,1,3,1348,154,183,6917,1277,48,56,16
121.South-Apulia,1,3,1334,186,229,7261,827,34,56,20
122.South-Apulia,1,3,1301,156,207,7003,1229,41,48,14
