Rank 	 Title 	 Year 	 Director 	 Country 
1 	 Citizen Kane 	 1941 	 Welles, Orson 	 USA 
2 	 Bicycle Thieves 	 1948 	 De Sica, Vittorio 	 Italy 
3 	 Psycho 	 1960 	 Hitchcock, Alfred 	 USA 
4 	 The Godfather 	 1972 	 Coppola, Francis Ford 	 USA 
5 	 2001: A Space Odyssey 	 1968 	 Kubrick, Stanley 	 UK / USA 
6 	 The Rules of the Game 	 1939 	 Renoir, Jean 	 France 
7 	 Singin' in the Rain 	 1952 	 Kelly, Gene / Donen, Stanley 	 USA 
8 	 Bonnie and Clyde 	 1967 	 Penn, Arthur 	 USA 
9 	 The Searchers 	 1956 	 Ford, John 	 USA 
10 	 Casablanca 	 1942 	 Curtiz, Michael 	 USA 
11 	 Seven Samurai 	 1954 	 Kurosawa, Akira 	 Japan 
12 	 Annie Hall 	 1977 	 Allen, Woody 	 USA 
13 	 Chinatown 	 1974 	 Polanski, Roman 	 USA 
14 	 Pulp Fiction 	 1994 	 Tarantino, Quentin 	 USA 
15 	 Raging Bull 	 1980 	 Scorsese, Martin 	 USA 
16 	 Rashmon 	 1950 	 Kurosawa, Akira 	 Japan 
17 	 Star Wars: Episode IV -  	 1977 	 Lucas, George 	 USA 
18 	 The 400 Blows 	 1959 	 Truffaut, Franois 	 France 
19 	 Breathless 	 1960 	 Godard, Jean-Luc 	 France 
20 	 E.T. The Extra-Terrestrial 	 1982 	 Spielberg, Steven 	 USA 
21 	 Vertigo 	 1958 	 Hitchcock, Alfred 	 USA 
22 	 Schindler's List 	 1993 	 Spielberg, Steven 	 USA 
23 	 8 1/2 	 1963 	 Fellini, Federico 	 Italy / France 
24 	 Metropolis 	 1927 	 Lang, Fritz 	 Germany 
25 	 Lawrence of Arabia 	 1962 	 Lean, David 	 UK 
26 	 GoodFellas 	 1990 	 Scorsese, Martin 	 USA 
27 	 Some Like It Hot 	 1959 	 Wilder, Billy 	 USA 
28 	 La Dolce Vita 	 1960 	 Fellini, Federico 	 Italy / France 
29 	 M 	 1931 	 Lang, Fritz 	 Germany 
30 	 On the Waterfront 	 1954 	 Kazan, Elia 	 USA 
31 	 All About Eve 	 1950 	 Mankiewicz, Joseph L. 	 USA 
32 	 Gone with the Wind 	 1939 	 Fleming, Victor 	 USA 
33 	 Taxi Driver 	 1976 	 Scorsese, Martin 	 USA 
34 	 The Conformist 	 1970 	 Bertolucci, Bernardo 	 Italy / France 
35 	 The Wizard of Oz 	 1939 	 Fleming, Victor / Vidor, King 	 USA 
36 	 Dr. Strangelove  	 1964 	 Kubrick, Stanley 	 UK 
37 	 The Godfather Part II 	 1974 	 Coppola, Francis Ford 	 USA 
38 	 Raise the Red Lantern 	 1991 	 Zhang, Yimou 	 China / Hong Kong 
39 	 Tokyo Story 	 1953 	 Ozu, Yasujiro 	 Japan 
40 	 Sunset Boulevard 	 1950 	 Wilder, Billy 	 USA 
41 	 The World of Apu 	 1959 	 Ray, Satyajit 	 India 
42 	 Double Indemnity 	 1944 	 Wilder, Billy 	 USA 
43 	 Belle de jour 	 1967 	 Buuel, Luis 	 France / Italy 
44 	 Persona 	 1966 	 Bergman, Ingmar 	 Sweden 
45 	 Jules and Jim 	 1962 	 Truffaut, Franois 	 France 
46 	 Apocalypse Now 	 1979 	 Coppola, Francis Ford 	 USA 
47 	 The Graduate 	 1967 	 Nichols, Mike 	 USA 
48 	 Nashville 	 1975 	 Altman, Robert 	 USA 
49 	 L'Avventura 	 1960 	 Antonioni, Michelangelo 	 Italy / France 
50 	 It's a Wonderful Life 	 1946 	 Capra, Frank 	 USA 
